Q6694	Alexander%20von%20Humboldt	1	[[Universitat Friedrich Schiller de Jena, Univerza Friedricha Schillerja v Jeni, Friedrich Schiller Üniversitesi Jena, Friedrich-Schiller-Universitato Jena, Friedrich-Schiller-Universität Jena, Universitas Litterarum Ienensis, Universitatea din Jena, Jenako Unibertsitatea, Universiteit fan Jena, Universidade de Jena, Universiteti i Jenës, Universidad de Jena, Uniwersytet w Jenie, Unibersidad ng Jena, Università di Jena, University of Jena, Yena universiteti, Université d'Iéna, Yena Universiteti, Universitas Jena, Jena universitet, Universita Jena, Jenan yliopisto, Prifysgol Jena, Varsity o Jena, Jénai Egyetem, Oilthigh Jena, Jena ülikool]]
Q535	Victor%20Hugo	0	[]
Q1276	Leonard%20Cohen	0	[]
Q33760	Bertrand%20Russell	4	[[The London School of Economics and Political Science, London School of Economics and Political Science, Sgoil na h-Eaconamachd Lunnainn, Londona Lernejo de Ekonomiko, London School of Economics, Ysgol Economeg Llundain, Londra Ekonomi Okulu], [Univirsitati di Harvard, Universitas Harvardiana, Universidad de Harvard, Universidat di Harvard, Harvardo universitetas, Chuo Kikuu cha Harvard, Universitat de Harvard, Harvard Unibertsitatea, Universidá de Harvard, Harvard Yachay Suntur, Harvardova univerzita, Università di Harvard, Universitatea Harvard, Universidade Harvard, Ùniwersytet Harvarda, Harvard Universitéit, Harvard Universiteti, Harvard-universiteit, Harvard Üniversitesi, Mbo'ehaorusu Harvard, Garvard universiteti, Universitato Harvard, Univerzitet Harvard, Universitas Harvard, Harvard Universitet, Universitat Harvard, Harvardin yliopisto, Harvard-Universität, Unibersidad Harvard, Harvard University, Universiti Harvard, Yunifásítì Harvard, Zanîngeha Harvardê, université Harvard, Universia Harvard, Prifysgol Harvard, Skol-veur Harvard, Ollscoil Harvard, Harvardi ülikool, Univerza Harvard, Oilthigh Harvard, Harvard Varsity, Harvard-háskóli, Harvard Egyetem, Harvard], [Universitas Chicaginiensis, Universitatea din Chicago, Chicagoko Unibertsitatea, Universiteit van Chicago, Universidade de Chicago, Unibersidad han Chicago, Universidad de Chicago, Universitat de Chicago, Universiteti i Çikagos, Universidá de Chicago, University of Chicago, Università di Chicago, université de Chicago, Chicagská univerzita, Chikago universiteti, Univerzitet Chicaga, Çikaqo Universiteti, Çikago Uniwersiteti, Universitas Chicago, Universiti Chicago, Univerza v Chicagu, Chicagon yliopisto, Prifysgol Chicago, Varsity o Chicago, Ollscoil Chicago, Oilthigh Chicago, Chicagói Egyetem, Chicago-háskóli, Chicago Ülikool], [Universiteit van Californië - Los Angeles, Kaliforniako Unibertsitatea Los Angelesen, Universidade da Califórnia em Los Angeles, Kalifornijski univerzitet u Los Angelesu, Universidad de California en Los Ángeles, Universidá de California en Los Angeles, Unibersidad han California, Los Angeles, Universitat de Califòrnia a Los Angeles, Universidade de California, Os Ánxeles, Universitat de Califòrnia, Los Angeles, Unibersidad ti California, Los Angeles, université de Californie à Los Angeles, University of California, Los Angeles, Kaliforniya Üniversitesi, Los Angeles, Los-Anceles Kaliforniya Universiteti, Kalifornská univerzita v Los Angeles, Universitas California, Los Angeles, Universiti California, Los Angeles, Prifysgol Califfornia, Los Angeles, Varsity o Californie, Los Angeles, Univerza Kalifornije, Los Angeles, Oilthigh California, Los Angeles, California Ülikool Los Angeleses, Kaliforniai Egyetem, Los Angeles, Kaliforníuháskóli í Los Angeles, Università della California, Universitas Californiensis, University of California, Kalifornian yliopisto, UCLA]]
Q13909	Angelina%20Jolie	0	[]
Q8016	Winston%20Churchill	0	[]
Q633	Neil%20Young	0	[]
Q181659	Ursula%20K.%20Le%20Guin	0	[]
Q79025	Walter%20Scott	0	[]
Q36233	V%C3%A1clav%20Havel	5	[[cervecería de Trutnov, Brewery Trutnov, Pivovar Trutnov], [Universiteit voor Scheikunde en Technologie Praag, Universität für Chemie und Technologie in Prag, institut de technologie chimique de Prague, Institute of Chemical Technology in Prague, Instituto Químico-Tecnológico de Praga], [Theatre on the Balustrade, théâtre sur la Balustrade, Divadlo Na zábradlí], [ABC Theatre, Divadlo ABC, teatro ABC], [Teatros de la ciudad de Praga, City Theatres of Prague]]
